А,1299
Б,1779
В,553
Г,1059
П,1884
Д,810
Е,107
Ё,2
О,845
Ж,423
Я,227
З,674
И,368
Й,4
К,2441
С,1913
Л,743
М,1366
Н,500
Р,612
Т,1058
У,287
Ф,203
Х,299
Ц,245
Ч,733
Ш,291
Щ,162
Э,238
Ю,148
